s.no.,P,E,Tmax,Tmin
68,0,5.053846154,0,1
69,0,5.161538462,0,1
70,0,5.013461538,0,1
71,0,5.161538462,0,1
72,0,5.171153846,0,1
73,0,5.401923077,0,1
74,0,5.557692308,0,1
75,0,5.573076923,0,1
76,0,5.632692308,0,1
77,0,5.694230769,0,1
78,0,5.790384615,0,1
79,0,5.267307692,0,1
80,0,5.096153846,0,1
81,0.336923077,4.803846154,0,1
82,0.774423077,4.561538462,0,1
83,0.005192308,4.651923077,0,1
84,0,5.503846154,0,1
85,0,5.675,0,1
86,0,5.623076923,0,1
87,0,5.438461538,0,1
88,0,5.567307692,0,1
89,0,5.530769231,0,1
90,0,5.451923077,0,1
91,0.083653846,4.909615385,0,1
92,1.170961538,4.832692308,0,1
93,1.062307692,4.636538462,0,1
94,0.296346154,4.909615385,0,1
95,0.105576923,5.030769231,0,1
96,0.033076923,5.276923077,0,1
97,0.032115385,5.5,0,1
98,0,5.692307692,0,1
99,0,5.748076923,0,1
100,0,5.65,0,1
101,0.658269231,4.903846154,0,1
102,0.31,5.540384615,0,1
103,1.5,5.388461538,0,1
104,0.369807692,5.153846154,0,1
105,5.094423077,5.028846154,0,1
106,1.9025,4.684615385,0,1
107,0.640961538,4.915384615,0,1
108,0.143846154,5.253846154,0,1
109,0.011538462,5.559615385,0,1
110,1.323269231,5.744230769,0,1
111,0.745576923,5.475,0,1
112,0.175961538,5.590384615,0,1
113,0.328653846,5.396153846,0,1
114,2.599038462,5.173076923,0,1
115,0.532115385,5.090384615,0,1
116,0.736730769,5.357692308,0,1
117,1.510961538,5.284615385,0,1
118,0.813076923,5.246153846,0,1
119,0.821346154,5.105769231,0,1
120,0.449038462,5.105769231,0,1
121,0.000769231,5.330769231,0,1
122,0,5.792307692,0,1
123,0,5.951923077,0,1
124,0,6.15,0,1
125,0,6.238461538,0,1
126,0.032884615,5.965384615,0,1
127,0.222692308,5.246153846,0,1
128,0.167115385,5.296153846,0,1
129,0.029230769,5.811538462,0,1
130,0,5.846153846,0,1
131,0,5.951923077,0,1
132,0,5.969230769,0,1
133,0,6.075,0,1
134,0.069230769,6.053846154,0,1
135,0.002307692,6.263461538,0,1
136,0,6.555769231,0,1
137,0,6.628846154,0,1
138,0.333076923,6.496153846,0,1
139,0.696346154,6.138461538,0,1
140,0.0175,5.869230769,0,1
141,0.094807692,5.625,0,1
142,0.240576923,5.844230769,0,1
143,0.438076923,5.898076923,0,1
144,0.110384615,5.867307692,0,1
145,0.181538462,6.038461538,0,1
146,0,6.026923077,0,1
147,0,6.325,0,1
148,0,6.653846154,0,1
149,0,6.778846154,0,1
150,0,6.380769231,0,1
151,0,5.898076923,0,1
152,0,5.838461538,0,1
